name,category,sub-category,cas,unit,median,mean,std,cv,type
Diisobutyl ketone,water,surface water,000108-83-8,kilogram,0.8190632257426897,0.8200115330020857,0.01510447403926429,0.01844115761096249,emission
Hydrogen peroxide,air,urban air close to ground,007722-84-1,kilogram,0.8220385693306127,0.8220385693306125,2.221557105636704e-16,2.702497411338888e-16,emission
Propanol,air,non-urban air or from high stacks,000071-23-8,kilogram,0.831838882958828,0.8435291617743378,0.1336278339049709,0.1606414855598723,emission
"Silver, ion",water,ocean,014701-21-4,kilogram,0.8604868716710634,0.8604868716710636,2.221557105636704e-16,2.581744334253985e-16,emission
"Titanium, ion",water,ocean,022541-75-9,kilogram,0.8922721654773569,0.8922721654773565,3.332335658455056e-16,3.7346627939159e-16,emission
Antimony,air,"low population density, long-term",007440-36-0,kilogram,1.047042067085476,1.047042067085476,0.0,0.0,emission
Beryllium,air,"low population density, long-term",007440-41-7,kilogram,1.248664183937134,1.248664183937134,0.0,0.0,emission
Barium,soil,agricultural,007440-39-3,kilogram,1.32942345879047,1.331300302859606,0.007272038823314257,0.005470069581839989,emission
Strontium,soil,agricultural,007440-24-6,kilogram,1.43194155104328,1.431987982613077,0.0001636680989514276,0.00011429803041345,emission
Cesium,water,ocean,007440-46-2,kilogram,1.434144809017767,1.434144809017767,4.443114211273408e-16,3.098093151636798e-16,emission
Arsine,air,urban air close to ground,007784-42-1,kilogram,1.710545150463584,1.792779237524349,0.5533134542574444,0.3234719961104142,emission
Benzal chloride,water,surface water,000098-87-3,kilogram,1.846179208291532,1.848550197651047,0.01242335726849253,0.006729226075506067,emission
Bromine,air,"low population density, long-term",007726-95-6,kilogram,1.852663618053144,1.852663618053143,6.664671316910112e-16,3.597345601201813e-16,emission
Diethylene glycol,air,urban air close to ground,000111-46-6,kilogram,1.935394803038303,2.184868783932231,1.238844135990887,0.6400989266097399,emission
Acrylic acid,air,urban air close to ground,000079-10-7,kilogram,2.224183131398917,2.224183131398917,4.443114211273408e-16,1.997638660481557e-16,emission
4-Methyl-2-pentanone,water,surface water,000108-10-1,kilogram,2.449017505930057,2.454111607159492,0.04585934505507937,0.0187256093286534,emission
Sodium hydroxide,air,urban air close to ground,001310-73-2,kilogram,2.475996211529834,2.475996211529833,8.886228422546815e-16,3.588950734725202e-16,emission
Ethyl cellulose,air,urban air close to ground,009004-57-3,kilogram,2.494525731985621,2.494525731985621,0.0,0.0,emission
Methyl acrylate,air,urban air close to ground,000096-33-3,kilogram,2.523740515711674,2.523740515711673,8.886228422546815e-16,3.52105470717974e-16,emission
"Dibenz(a,h)anthracene",water,surface water,00053-70-3,kilogram,2.291676298594693,2.556549384450893,1.229299804940518,0.5364194784814734,emission
Cadmium,air,"low population density, long-term",007440-43-9,kilogram,2.581356943590116,2.581356943590115,4.443114211273408e-16,1.721232014156859e-16,emission
"Benzene, hexachloro-",water,,000118-74-1,kilogram,2.304466692542653,2.603711241496465,1.260000776988181,0.5467645859519664,emission
Glyphosate,water,,001071-83-6,kilogram,2.522646599994997,2.633045965265316,0.7812819570504077,0.3097072562807479,emission
Benzal chloride,air,,000098-87-3,kilogram,2.149381624791822,2.739289400073832,2.16427217265733,1.00692782877352,emission
